,User,Tweet
101,NRDCNY_Rich,"RT @CarolinePaxton3: New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the clim…"
102,hectic20211,"RT @PGATOUR: Play has been suspended due to weather @WyndhamChamp.

Check the Weather Hub presented by @Travelers for the latest updates."
103,Genelands,"RT @PGATOUR: Play has been suspended due to weather @WyndhamChamp.

Check the Weather Hub presented by @Travelers for the latest updates."
104,daviewhite000,"RT @PGATOUR: Play has been suspended due to weather @WyndhamChamp.

Check the Weather Hub presented by @Travelers for the latest updates."
105,TripleBogeyGC,"PGATOUR: Play has been suspended due to weather @WyndhamChamp.

Check the Weather Hub presented by @Travelers for the latest updates."
106,sambonnar2,"RT @PGATOUR: Play has been suspended due to weather @WyndhamChamp.

Check the Weather Hub presented by @Travelers for the latest updates."
107,mumaralid,"RT @PGATOUR: Play has been suspended due to weather @WyndhamChamp.

Check the Weather Hub presented by @Travelers for the latest updates."
108,opressor_es,"RT @PGATOUR: Play has been suspended due to weather @WyndhamChamp.

Check the Weather Hub presented by @Travelers for the latest updates."
109,Cameronbattle10,@PGATOUR @WyndhamChamp @Travelers let play resume. it already passed
110,WyndhamChamp,"RT @PGATOUR: Play has been suspended due to weather @WyndhamChamp.

Check the Weather Hub presented by @Travelers for the latest updates."
111,PGATOUR,"Play has been suspended due to weather @WyndhamChamp.

Check the Weather Hub presented by @Travelers for the latest updates."
112,carsonpoupore,RT @jcplpOU: Feature Friday continues with some of our interns in the great state of Texas! From @GoldmanSachs to @Shell and @ATT to @Trave…
113,HartfordSuper,@readyCTED @PathwaysAcad @Travelers @HartfordHealthC @stanleytools @EY_US #SuperProud of our students and our partnerships!
114,Bluebel80617402,"RT @CarolinePaxton3: New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the clim…"
115,jcplpOU,"Feature Friday continues with some of our interns in the great state of Texas! From @GoldmanSachs to @Shell and @ATT to @Travelers insurance, you can find #JCPLP associates in every industry all over the state! https://t.co/vqDq6B1alw"
116,JustaDumguy,"RT @CarolinePaxton3: New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the clim…"
117,openIDL,RT @danielabarbosa: Jeff is a great addition to our openIDL team and is helping move this project forward with our insurance carrier member…
118,Hartford_Public,"RT @TheVillage_CT: Meet Dontay. In eighth grade, he was one of more than 24% of Hartford students considered chronically absent. Learn how…"
119,C_mcnasty14,"@Travelers Hey quick question, why is my insurance going up after a full year with travelers and having a completely clean driving record? My agent said rates are going up everywhere. Don’t want to leave but this is bullshit."
120,oil_strike,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/nImN35l4tU"
121,JeffHanneken,4 Technology Errors &amp; Omissions Insurance Risks - https://t.co/2Rhuj1fffO via @Travelers #riskmanagement #insurance
122,tomswan,"RT @CarolinePaxton3: New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the clim…"
123,StopMoneyPipe,"RT @CarolinePaxton3: New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the clim…"
124,LongHong,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/uUWseiqgdN"
125,diversityup,"RT @TeamAPCIA: Congratulations to @Aon_plc, @ZurichNA, @Progressive, @Travelers, @TheHartford, @Geico, @Assurant and @Selective for being n…"
126,TeamAPCIA,"Congratulations to @Aon_plc, @ZurichNA, @Progressive, @Travelers, @TheHartford, @Geico, @Assurant and @Selective for being named to the @Forbes 2022 list of America's Best Employers for Women. Learn more: https://t.co/Ysny3oNQ5Z #InsuringWhatMattersMost #diversity #inclusion https://t.co/mfnMn4HqE3"
127,stefihane,RT @danielabarbosa: Jeff is a great addition to our openIDL team and is helping move this project forward with our insurance carrier member…
128,danielabarbosa,"Jeff is a great addition to our openIDL team and is helping move this project forward with our insurance carrier members @The_Hanover @TheHartford @Travelers @Selective, @AAISCorporate &amp; participating insurance state regulators like CT, ME, VA and more. Welcome Jeff! https://t.co/QxqPek7xqB"
129,readyCTED,Wrapping an exciting week with photos from the GRIT Showcase at @PathwaysAcad. Students had AMAZING experiences working with @Travelers @HartfordHealthC @stanleytools @EY_US and #HartfordLandBank! Nearly 300 students will finish summer '22 with a paid ReadyCT WBL experience! https://t.co/XrVF5DBsIo
130,CCAG,"RT @tomswan: ‘They are not slowing down’: The rise of billion-dollar disasters - The Washington Post
⁦@Travelers⁩ ⁦@TheHartford⁩ ⁦@WRBerkle…"
131,hfdathletic,"PREVIEW presented by @Travelers: We meet @Memphis901FC at their place tomorrow night, 8:30 ET kickoff 🟢🔵

🔗https://t.co/PfR8zlvzca https://t.co/2B8bFl1zQX"
132,TheVillage_CT,"Meet Dontay. In eighth grade, he was one of more than 24% of Hartford students considered chronically absent. Learn how an initiative with our partners at @Hartford_Public and @Travelers helped him embrace a new approach to school, resulting in huge improvements for his future. https://t.co/Cd5vkxNfXc"
133,HariharMohan,"@Travelers American Legal News - The Untold Stories, ""The ""Trillion Dollar Housing Scam"" on America's Tax Payers reinforces legal arguments in the $42B Federal Lawsuit - HARIHAR v US BANK et al (Docket No. 15-cv-11880, US District Court, Boston, MA)
https://t.co/2ZP2NEclVU"
134,KathMorrow90,RT @Insure_Future: 1/5 NEW: Analysis finds that top North American fossil fuel insurers have invested nearly $60 BILLION into #ClimateChaos…
135,InsuranceOff1ce,RT @Travelers: You found the #theperfectmatch. Now let’s find the perfect coverage for your special day: https://t.co/Gd9MFbXpmg https://t.…
136,watchmycomp,Congratulations to @pingan_group &amp; @Travelers  for following through on their green pledge of going #CarbonNeutral by 2030. This has been steered by shareholders' buy-in with 55.8% of shareholders requesting the release of current emissions numbers to ensure they are on track. https://t.co/Y2lCdSnIml
137,CarolinePaxton3,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/NWL4EoNGBo"
138,NBoxing212,@Travelers Can I put my car on Turo with travelers insurance?
139,tomswan,"‘They are not slowing down’: The rise of billion-dollar disasters - The Washington Post
⁦@Travelers⁩ ⁦@TheHartford⁩ ⁦@WRBerkleyCorp⁩ how can you justify underwriting &amp; investing in fossil fuels to your shareholders &amp; policyholders? https://t.co/2KhDFJsflO"
140,dlcmh,"RT @China4Tech: By @iChongqing_CIMC
“A monorail that shuffle passes the #CBD areas of #Chongqing.” #重庆市 #四川省
#Transportation #China #monora…"
141,KS_Roth_Ins,"RT @Travelers: With high temperatures forecasted throughout the U.S. this week, here are some tips to help you stay safe: https://t.co/hWkH…"
142,DennisPan20181,"RT @China4Tech: By @iChongqing_CIMC
“A monorail that shuffle passes the #CBD areas of #Chongqing.” #重庆市 #四川省
#Transportation #China #monora…"
143,China4Tech,"By @iChongqing_CIMC
“A monorail that shuffle passes the #CBD areas of #Chongqing.” #重庆市 #四川省
#Transportation #China #monorail #AI
#travel #city #drone #drones #DJI  
@JessicaZ1018 @Travelers #art #flying
#Transportation #Chinese #smartcity 
https://t.co/PPDU16a3jw"
144,LilysDesk,@Travelers @ConstructionMag Disgusting company! You sent out fake evacuation alerts to people living near a wildfire. How cruel and an  unethical practice to bring chaos into an already scary situation. The McKinney wildfire is only 4 miles away and you decide to tell people to evacuate! Shame on you!
145,LilysDesk,@Travelers Disgusting company! You sent out fake evacuation alerts to people living near a wildfire. How cruel and an  unethical practice to bring chaos into an already scary situation. The McKinney wildfire is only 4 miles away and you decide to tell people to evacuate! Shame on you!
146,LilysDesk,@Travelers @CVSHealth Disgusting company! You sent out fake evacuation alerts to people living near a wildfire. How cruel and an  unethical practice to bring chaos into an already scary situation. The McKinney wildfire is only 4 miles away and you decide to tell people to evacuate! Shame on you!
147,LilysDesk,@Travelers Disgusting company! You sent out fake evacuation alerts to people living near a wildfire. How cruel and an  unethical practice to bring chaos into an already scary situation. The McKinney wildfire is only 4 miles away and you decide to tell people to evacuate! Shame on you!
148,LilysDesk,@Travelers @fleetowner Disgusting company! You sent out fake evacuation alerts to people living near a wildfire. How cruel and an  unethical practice to bring chaos into an already scary situation. The McKinney wildfire is only 4 miles away and you decide to tell people to evacuate! Shame on you!
149,LilysDesk,@Travelers Disgusting company! You sent out fake evacuation alerts to people living near a wildfire. How cruel and an  unethical practice to bring chaos into an already scary situation. The McKinney wildfire is only 4 miles away and you decide to tell people to evacuate! Shame on you!
150,LilysDesk,@Travelers Disgusting company! You sent out fake evacuation alerts to people living near a wildfire. How cruel and an  unethical practice to bring chaos into an already scary situation. The McKinney wildfire is only 4 miles away and you decide to tell people to evacuate! Shame on you!
151,LilysDesk,@Travelers Disgusting company! You sent out fake evacuation alerts to people living near a wildfire. How cruel and an  unethical practice to bring chaos into an already scary situation. The McKinney wildfire is only 4 miles away and you decide to tell people to evacuate! Shame on you!
152,LilysDesk,@Travelers Disgusting company! You sent out fake evacuation alerts to people living near a wildfire. How cruel and an  unethical practice to bring chaos into an already scary situation. The McKinney wildfire is only 4 miles away and you decide to tell people to evacuate! Shame on you!
153,LilysDesk,Weather Safety - https://t.co/EpP8dljeLA via @Travelers.  You people are disgusting! Sending out an evacuation notice to people in the McKinney Fire area just to sell insurance. This alert was a lie and cruel tactic.
154,lauramae60,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
155,GooseheadWarren,RT @Travelers: You found the #theperfectmatch. Now let’s find the perfect coverage for your special day: https://t.co/Gd9MFbXpmg https://t.…
156,joemcguireins,RT @Travelers: You found the #theperfectmatch. Now let’s find the perfect coverage for your special day: https://t.co/Gd9MFbXpmg https://t.…
157,plmitchell99,".@Travelers.@exxonmobil GREEDY IMMORAL CEOs!
You support J.D. Vance in Ohio -- among other corrupt lying MAGAts!  Think about what the hell you are doing before you put more truly awful people in Congress!
Is it ONLY and ALWAYS about profit? Disgraceful."
158,TonyS1234,"@Travelers Your company increased my home owners insurance claiming ""HOME INSPECTIONS RESULTS"".  They cited 3 items in the report which were fake. I Called CS twice and got the runaround. What can be done to correct the situation?"
159,SMWesterly,"Make sure your home is secure before your next get-away, with helpful tips from @byrnesagency and @Travelers. #vacation #Security #home #BePrepared https://t.co/jeuYOBHhkC"
160,Mariamarinkovi7,RT @Travelers: You found the #theperfectmatch. Now let’s find the perfect coverage for your special day: https://t.co/Gd9MFbXpmg https://t.…
161,GirlsWhoCode,@Travelers Thank you so much for your continuous support. Your mentorship means the world to our students. 💜
162,walkerpooleins,"RT @Travelers: With high temperatures forecasted throughout the U.S. this week, here are some tips to help you stay safe: https://t.co/hWkH…"
163,saragraz,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/ID9GCgI2hr"
164,InsuranceOff1ce,"RT @Travelers: With high temperatures forecasted throughout the U.S. this week, here are some tips to help you stay safe: https://t.co/hWkH…"
165,GarrityIns,RT @Travelers: Now is the perfect time to consider the best insurance solution to protect your #smallbusiness. Our Business Owner’s Policy…
166,bender_hatch,RT @Travelers: #Construction workers can be at risk for serious injury from lifting on the job. Reducing material handling through smart la…
167,keripickett,"RT @RiseWithTheSea: New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the clima…"
168,constellationr,"Did you see the new #ESG50? Yafit Cohn @Travelers, @mary_draves @DowNewsroom, Sunny Elebua @Exelon, Leyla Ertur @hmusa, Sheri Flies @Costco, Paulette Frank @JNJNews, @MikeNFraser @SchneiderElec, Deb Geyer @StanleyBlkDeckr https://t.co/EmjXEQmofo #ESG https://t.co/zxpirgFZLj"
169,ValuePrinciple,"@Allstate @GEICO @StateFarm @progressive @WeAreFarmers @Nationwide @LibertyMutual
@Travelers

I know we ALL ""wear"" Seatbelts on AIRPLANES...

But...how does Insurance work...

If we get into a Fender Bender at say...20,000ft...

BUT...it's only a Quarter Panel and Bumper!? https://t.co/3CrwdpJUfg"
170,Jan62621277,@Travelers @GirlsWhoCode Girls who code… do you know Travelers supports JD Vance? JD Vance says women in violent relationships should stay in that relationship. Disgusting
171,Jan62621277,@Travelers @GirlsWhoCode Travelers shame on you for support JD Vance
172,Jan62621277,@Travelers @GirlsWhoCode Travelers supports a woman hater JD Vance
173,eeeverywhere,"RT @theArt_of_hair: New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the clima…"
174,ExactlyCharley,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
175,9pandora,"@Specneedsmom4 @Travelers Change insurers, if possible. Tell them why. Direct it to the highest officer."
